Line,Env,DTHD,DTMT,GY,Height
GID7634733,Bed5IR,74,114,5.981199702,105
GID7634734,Bed5IR,70,113,6.218336063,110
GID7634745,Bed5IR,72,116,6.608507143,101
GID7634746,Bed5IR,72,118,6.125257493,100
GID7634751,Bed5IR,75,118,6.422350003,97
GID7634753,Bed5IR,67,114,6.32473283,98
GID7634754,Bed5IR,70,110,6.06201466,93
GID7634763,Bed5IR,74,121,6.368407587,100
GID7634793,Bed5IR,68,108,5.671992387,90
GID7634797,Bed5IR,67,107,6.25085032,96
GID7634825,Bed5IR,73,114,5.87250937,111
GID7634829,Bed5IR,78,120,6.889010337,112
GID7634830,Bed5IR,73,114,7.193094075,107
GID7634832,Bed5IR,76,120,7.148427408,109
GID7634833,Bed5IR,73,115,6.892427408,114
